CountyName,datetime_local,date_str,hour_str,local_hour,index,cloud_coverage,n_points
Riverside,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.617056305564702,3037
Sacramento,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.116751269035533,394
San Benito,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.010452961672473868,574
San Bernardino,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.6205003050640635,8195
San Diego,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.9612403100775194,1806
San Francisco,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.5238095238095238,21
San Joaquin,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.050788091068301226,571
San Luis Obispo,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.08626887131560029,1391
San Mateo,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.18518518518518517,189
Santa Barbara,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.2326007326007326,1092
Santa Clara,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.08679245283018867,530
Santa Cruz,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.20540540540540542,185
Shasta,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.08839779005524862,1448
Sierra,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.018617021276595744,376
Siskiyou,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.14133219470538003,2342
Solano,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.18571428571428572,350
Sonoma,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.26134585289514867,639
Stanislaus,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,611
Sutter,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.11618257261410789,241
Tehama,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,1132
Trinity,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.059640522875817,1224
Tulare,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,1970
Tuolumne,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,898
Ventura,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.25417201540436457,779
Yolo,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.09828009828009827,407
Yuba,2025-11-03T03:00,"Nov 03, 2025",3 AM,3,3,0.0,249
Alameda,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.06622516556291391,302
Alpine,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,289
Amador,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.01276595744680851,235
Butte,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0015455950540958269,647
Calaveras,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,415
Colusa,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.03325942350332594,451
Contra Costa,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.08852459016393442,305
Del Norte,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.4251968503937008,381
El Dorado,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.012838801711840228,701
Fresno,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,2435
Glenn,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.003898635477582846,513
Humboldt,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.20306793279766253,1369
Imperial,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.9648375066595631,1877
Inyo,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.017896543270409414,4079
Kern,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,3377
Kings,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,571
Lake,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0038314176245210726,522
Lassen,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.13677639046538026,1762
Los Angeles,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.35537190082644626,1694
Madera,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,865
Marin,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.49065420560747663,214
Mariposa,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,581
Mendocino,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.1760409057706355,1369
Merced,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0,804
Modoc,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.05074821080026025,1537
Mono,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.06519967400162999,1227
Monterey,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.10304789550072568,1378
Napa,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.15605095541401273,314
Nevada,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.0026595744680851063,376
Orange,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.9680232558139535,344
Placer,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.02413793103448276,580
Plumas,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.02738336713995943,986
Riverside,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.787619361211722,3037
Sacramento,2025-11-03T04:00,"Nov 03, 2025",4 AM,4,4,0.12944162436548223,394
